time,setpoint,sensor,sinyal kendali
27:59.0,42.70004642,43,19.91013926
27:59.3,42.70004642,43,19.88013926
27:59.5,42.70004642,43,19.85013926
27:59.7,42.70004642,43,19.82013926
28:00.0,42.70004642,43,19.79013926
28:00.2,42.70004642,43,19.76013926
28:00.4,42.70004642,43,19.73013926
28:00.7,42.70004642,43,19.70013926
28:00.9,42.70004642,43,19.67013926
28:01.1,42.70004642,43,19.64013926
28:01.3,42.70004642,43,19.61013926
28:01.6,42.70004642,43,19.58013926
28:01.8,42.70004642,43,19.55013926
28:02.1,42.70004642,43,19.52013926
28:02.3,42.70004642,43,19.49013926
28:02.6,42.70004642,43,19.46013926
28:02.9,42.70004642,43,19.43013926
28:03.1,42.70004642,43,19.40013926
28:03.3,42.70004642,43,19.37013926
28:03.6,42.70004642,43,19.34013926
28:03.9,42.70004642,43,19.31013926
28:04.1,42.70004642,43,19.28013926
28:04.4,42.70004642,43,19.25013926
28:04.7,42.70004642,43,19.22013926
28:04.9,42.70004642,43,19.19013926
28:05.1,42.70004642,43,19.16013926
28:05.3,42.70004642,43,19.13013926
28:05.5,42.70004642,43,19.10013926
28:05.8,42.70004642,43,19.07013926
28:06.0,42.70004642,43,19.04013926
28:06.2,42.70004642,43,19.01013926
28:06.5,42.70004642,43,18.98013926
28:06.7,42.70004642,43,18.95013926
28:06.9,42.70004642,43,18.92013926
28:07.2,42.70004642,43,18.89013926
28:07.5,42.70004642,43,18.86013926
28:07.7,42.70004642,43,18.83013926
28:07.9,42.70004642,43,18.80013926
28:08.1,42.70004642,43,18.77013926
28:08.3,42.70004642,43,18.74013926
28:08.5,42.70004642,43,18.71013926
28:08.8,42.70004642,43,18.68013926
28:09.1,42.70004642,43,18.65013926
28:09.4,42.70004642,43,18.62013926
28:09.6,42.70004642,43,18.59013926
28:09.8,42.70004642,43,18.56013926
28:10.1,42.70004642,43,18.53013926
28:10.3,42.70004642,43,18.50013926
28:10.5,42.70004642,43,18.47013926
28:10.8,42.70004642,43,18.44013926
28:11.0,42.70004642,43,18.41013926
28:11.2,42.70004642,43,18.38013926
28:11.5,42.70004642,43,18.35013926
28:11.7,42.70004642,43,18.32013926
28:12.0,42.70004642,43,18.29013926
28:12.2,42.70004642,43,18.26013926
28:12.4,42.70004642,43,18.23013926
28:12.7,42.70004642,43,18.20013926
28:12.9,42.70004642,43,18.17013926
28:13.1,42.70004642,43,18.14013926
28:13.3,42.70004642,43,18.11013926
28:13.6,42.70004642,43,18.05013926
28:13.9,42.70004642,42,21.12013926
28:14.1,42.70004642,42,21.19013926
28:14.4,42.70004642,42,21.26013926
28:14.6,42.70004642,42,21.33013926
28:14.9,42.70004642,42,21.40013926
28:15.1,42.70004642,42,21.47013926
28:15.4,42.70004642,42,21.54013926
28:15.6,42.70004642,42,21.61013926
28:15.8,42.70004642,42,21.68013926
28:16.0,42.70004642,42,21.75013926
28:16.2,42.70004642,43,21.82013926
28:16.4,42.70004642,43,18.79013926
28:16.8,42.70004642,43,18.76013926
28:17.0,42.70004642,43,18.73013926
28:17.2,42.70004642,43,18.70013926
28:17.4,42.70004642,43,18.67013926
28:17.7,42.70004642,43,18.64013926
28:17.9,42.70004642,43,18.61013926
28:18.2,42.70004642,43,18.58013926
28:18.4,42.70004642,43,18.55013926
28:18.7,42.70004642,43,18.52013926
28:19.0,42.70004642,43,18.49013926
28:19.2,42.70004642,43,18.46013926
28:19.4,42.70004642,43,18.43013926
28:19.6,42.70004642,43,18.40013926
28:19.8,42.70004642,43,18.37013926
28:20.0,42.70004642,43,18.34013926
28:20.3,42.70004642,43,18.31013926
28:20.5,42.70004642,43,18.28013926
28:20.7,42.70004642,43,18.25013926
28:20.9,42.70004642,43,18.22013926
28:21.1,42.70004642,43,18.19013926
28:21.3,42.70004642,43,18.16013926
28:21.6,42.70004642,43,18.13013926
28:21.9,42.70004642,43,18.10013926
28:22.1,42.70004642,43,18.07013926
28:22.3,42.70004642,43,18.04013926
28:22.5,42.70004642,43,18.01013926
28:22.7,42.70004642,43,17.98013926
28:23.0,42.70004642,43,17.95013926
28:23.3,42.70004642,43,17.92013926
28:23.5,42.70004642,42,17.89013926
28:23.7,42.70004642,42,20.96013926
28:24.0,42.70004642,42,21.03013926
28:24.3,42.70004642,42,21.10013926
28:24.6,42.70004642,42,21.17013926
28:24.8,42.70004642,42,21.24013926
28:25.1,42.70004642,42,21.31013926
28:25.4,42.70004642,42,21.38013926
28:25.7,42.70004642,42,21.45013926
28:25.9,42.70004642,42,21.52013926
28:26.1,42.70004642,42,21.59013926
28:26.3,42.70004642,42,21.66013926
28:26.6,42.70004642,42,21.73013926
28:26.8,42.70004642,42,21.80013926
28:27.0,42.70004642,42,21.87013926
28:27.2,42.70004642,42,21.94013926
28:27.5,42.70004642,42,22.01013926
28:27.8,42.70004642,42,22.08013926
28:28.1,42.70004642,42,22.15013926
28:28.3,42.70004642,42,22.22013926
